,,Dataset,,,Africa,,,,,Americas,,,,,,Asia,,,,,,Europe,,,,Pacific Region,,,
Crop commodity,Crop scientific names,Food Supplies (2009-2011); (1961-2009)- all variables (N = 53),Production (2009-2011)- all variables (N = 132),Production (1961-2011)- all variables (N = 129),Central Africa,East Africa,Indian Ocean Islands,Southern Africa,West Africa,Caribbean,Central America and Mexico,North America,Andean South America,Temperate South America ,Tropical South America,Central Asia,East Asia,South Asia,Southeast Asia,West Asia,South and East Mediterranean,North Eastern Europe,South Eastern Europe,North Western Europe,South Western Europe,Pacific Region- Australia and New Zealand,Tropical Pacific Region,Not Specified,Primary region of diversity notes
Alfalfa,Medicago sativa L. ,,x,,,,,,,,,,,,,x,,,,x,,,,,,,,,"Hawkes (1983),  Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Almonds,Prunus dulcis (Mill.) D. A. Webb,,x,x,,,,,,,,,,,,x,,,,x,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016), GRIN (2014), Prota (2014)"
"Anise, badian, fennel & coriander","Anise (Pimpinella anisum L.), Badia (Illicium verum Hook.f.), Fennel (Foeniculum vulgare Mill.), Coriander (Coriandrum sativum L.) ",,x,x,,,,,,,,,,,,,x,,x,x,x,,x,,x,,,,Zeven and Zhukovsky (1975)
Apples,Malus domestica Borkh.,x,x,x,,,,,,,,,,,,x,x,,,,,x,x,x,x,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), with European regions further refined. For East Asia- M. prunifolia likely involved in origin of domestic apple (GRIN (2014)), Castañeda-Álvarez (2016)"
Apricots,Prunus armeniaca L.,,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,"Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Areca nuts,Areca catechu L.,,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,,"Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016), GRIN (2014), Prota (2014)"
Artichokes,Cynara cardunculus L.,,x,x,,,,,,,,,,,,,,,,,x,,x,,x,,,,"GRIN (2014), Prota (2014)"
Asparagus,Asparagus officinalis L.,,x,x,,,,,,,,,,,,x,,,,x,x,x,x,x,x,,,,"GRIN (2014), Castañeda-Álvarez (2016)"
Avocados,Persea americana Mill.,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,"GRIN (2014), Prota (2014)"
Bambara beans,Vigna subterranea (L.) Verdc.,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,"Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Bananas & plantains,"Musa acuminata Colla, Musa balbisiana Colla, Musa ×paradisiaca L.",x,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), Castañeda-Álvarez (2016)"
Barley,Hordeum vulgare L.,x,x,x,,,,,,,,,,,,x,,,,x,x,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), Castañeda-Álvarez (2016)"
Beans,"Phaseolus vulgaris L., Phaseolus lunatus L., other Phaseolus spp. ",x,x,x,,,,,,,x,,x,,,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), GRIN (2014), Castañeda-Álvarez (2016)"
Berries nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
"Beverages, alcoholic",Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
"Beverages, fermented",Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Blueberries,"Vaccinium corymbosum L., other Vaccinium spp. ",,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,GRIN (2014)
Brazil nuts,Bertholletia excelsa Humb. & Bonpl.,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,GRIN (2014)
Buckwheat,Fagopyrum esculentum Moench,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,"Prota (2014), GRIN (2014). Did not include Central Asia-  no support for this GRIN (2014)"
Cabbages,Brassica oleracea L.,,x,x,,,,,,,,,,,,,x,,,,x,,x,,x,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Carob,Ceratonia siliqua L.,,x,x,,,,,,,,,,,,,,,,,x,,x,,x,,,,GRIN (2014)
Carrots & turnips,"Carrots (Daucus carota L.), Turnips (Brassica rapa L.)",,x,x,,,,,,,,,,,,x,,,,x,x,,x,,x,,,,"Hawkes (1983), Castañeda-Álvarez (2016), Hanelt (2001), Castañeda-Álvarez (2016)"
Cashew,Anacardium occidentale L.,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,GRIN (2014)
Cassava,Manihot esculenta Crantz,x,x,x,,,,,,,x,,,,x,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), with South America region further refined. GRIN (2014). L. Augusto Bercera Lopez (pers. comm. 2015) convinced most genetic diversity is from Mesoamerica, Castañeda-Álvarez (2016)"
Castor oil,Ricinus communis L.,,x,x,,x,,,,,,,,,,,,x,,x,x,,,,,,,,Prota (2014)
Cereals nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
"Cereals, other",Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Cherries,"Prunus avium (L.) L., Prunus cerasus L.",,x,x,,,,,,,,,,,,x,,,,x,,,x,,,,,,"Zeven and Zhukovsky (1975), GRIN (2014), Castañeda-Álvarez (2016)"
Chestnut,Castanea sativa Mill.,,x,x,,,,,,,,,,,,x,,,,x,x,,x,,,,,,GRIN (2014)
Chickpeas,Cicer arietinum L.,,x,x,,,,,,,,,,,,,,x,,x,x,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Chicory roots,Cichorium intybus L.,,x,x,,,,,,,,,,,,x,,x,,x,x,x,x,x,x,,,,"Zeven and Zhukovsky (1975), GRIN (2014)"
Chillies & peppers,"Capsicum annuum L., Capsicum chinense Jacq., other Capsicum spp. ",,x,x,,,,,,x,x,,,,x,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Cinnamon,"Cinnamomum verum J. Presl, other Cinnamomum spp.",,x,x,,,,,,,,,,,,,x,x,x,,,,,,,,,,"GRIN (2014) for cassia, Prota (2014) for verum"
"Citrus, other",Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Clover,Trifolium L. spp.,,x,,,,,,,,,,,,,x,,x,,x,x,x,x,x,x,,,,"Zeven and Zhukovsky (1975), GRIN (2014) for repens, pratense"
Cloves,Syzygium aromaticum (L.) Merr. & L. M. Perry,x,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,Native to Indonesia (GRIN (2014))
Cocoa beans,Theobroma cacao L.,x,x,x,,,,,,,x,,,,x,,,,,,,,,,,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998), with region further refined. Central America and Mexico as per GRIN (2014)"
Coconuts,Cocos nucifera L.,x,x,x,,,,,,,,,,,,,,x,x,,,,,,,,x,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), with Pacific region futher refined. South Asia added as suggested by J. Engels (Engels et al. (2001))"
Coffee,"Coffea arabica L., Coffea canephora Pierre ex A. Froehner",x,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,"Hawkes (1983), Including both C. arabica and C. canephora. Native to E Africa (arabica, canephora); Central Africa, W Africa (canephora) (GRIN (2014))"
Cottonseed oil,"Gossypium hirsutum L., Gossypium herbaceum L.",x,x,x,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Central America and Mexico - Flores-Palacios (1998). Tropical south America - added for G. barbadense, native to tropical Ecuador, Peru (GRIN, 2014). Caribbean- Added for G. hirsutum, potentially native to Caribbean GRIN (2014). E Africa- As Flores-Palacios (1998) and GRIN (2014) for including G. arboreum. S Africa- As Flores-Palacios (1998) and GRIN (2014) for including G. herbaceum, Castañeda-Álvarez (2016)"
Cowpeas,Vigna unguiculata (L.) Walp.,,x,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,"Zeven and Zhukovsky (1975),  Castañeda-Álvarez (2016)"
Cranberries,"Vaccinium oxycoccos L., Vaccinium macrocarpon Aiton",,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,GRIN (2014)
Cucumbers,Cucumis sativus L.,,x,x,,,,,,,,,,,,,x,x,x,,,,,,,,,,"Hawkes (1983), GRIN (2014), Castañeda-Álvarez (2016)"
Currants,"Ribes nigrum L., Ribes rubrum L., other Ribes spp.",,x,x,,,,,,,,,,,,x,,,,,,x,x,x,x,,,,GRIN (2014)- for black currants
Dates,Phoenix dactylifera L.,x,x,x,,,,,,,,,,,,,,x,,x,x,,,,,,,,"W Asia- included as probably indigenous to the Persian Gulf region GRIN (2014). S Asia- cultivated in India in ancient times GRIN (2014). SE Med - Flores-Palacios (1998). A site of early cultivation of dates, but likely not part of native range of species GRIN (2014)"
Eggplants,Solanum melongena L.,,x,x,,,,,,,,,,,,,x,x,x,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Prota (2014), Castañeda-Álvarez (2016)"
Faba beans,Vicia faba L.,,x,x,,,,,,,,,,,,,,,,x,,,,,,,,,"Zeven and Zhukovsky (1975), Prota (2014), Castañeda-Álvarez (2016)"
Figs,Ficus carica L.,,x,x,,,,,,,,,,,,x,,x,,x,x,,,,x,,,,"Hawkes (1983),  Zeven and Zhukovsky (1975), GRIN (2014), Prota (2014)"
Fonio,Digitaria exilis (Kippist) Stapf,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,GRIN (2014)
Fruit citrus nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
Fruit fresh nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
Fruit pome nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
Fruit stone nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
Fruit tropical fresh nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
"Fruits, other",Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Garlic,Allium sativum L.,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,"Zeven and Zhukovsky (1975), Prota (2014), Castañeda-Álvarez (2016)"
Ginger,Zingiber officinale Roscoe,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,"Zeven and Zhukovsky (1975), Prota (2014)"
Gooseberries,Ribes uva-crispa L. ,,x,x,,,,,,,,,,,,x,,,,x,x,x,x,x,x,,,,GRIN (2014) for uva-crispa
Grain mixed,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
Grapefruit,Citrus paradisi Macfad.,x,x,x,,,,,,,,,,,,,x,,x,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), SE Asia- Flores-Palacios (1998). E Asia- Included as grapefruit is a relatively new hybrid from pomelo (SE Asia) and Orange (E Asia), although this hybrid likely originated from introduced material in Caribbean GRIN (2014), Castañeda-Álvarez (2016)"
Grapes,Vitis vinifera L.,x,x,x,,,,,,,,x,,,,,x,,,x,x,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), W Asia and SE Med- Flores-Palacios (1998). E Asia and N America- Important genes/rootstock from this region GRIN (2014), Castañeda-Álvarez (2016)"
Groundnut,Arachis hypogaea L.,x,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), with region further refined"
Hazelnuts,Corylus avellana L. ,,x,x,,,,,,,,,,,,x,,,,x,,x,x,x,x,,,,GRIN (2014)
Hempseed,Cannabis sativa L.,,x,x,,,,,,,,,,,,x,,x,,x,,,,,,,,,"Zeven and Zhukovsky (1975), Prota (2014)"
Hops,Humulus lupulus L. ,,x,x,,,,,,,,,,,,x,x,,,x,x,x,x,x,x,,,,"Zeven and Zhukovsky (1975), GRIN (2014)"
Kiwi,Actinidea Lindl. spp.,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,GRIN (2014)
Kola nuts,Cola Schott & Endl. spp.,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,,,GRIN (2014)
Leeks,Allium porrum L.,,x,x,,,,,,,,,,,,x,,,,x,x,,x,,x,,,,"GRIN (2014)- Probably Asia_Central and northern Europe were not centers of domestication of this crop, Prota (2014), Castañeda-Álvarez (2016)"
Lemons & limes,"Lemons (Citrus limon (L.) Burm. f.), Limes (Citrus aurantiifolia (Christm.) Swingle)",x,x,x,,,,,,,,,,,,,x,x,,,,,,,,,,,"Zeven and Zhukovsky (1975), GRIN (2014), Castañeda-Álvarez (2016)"
Lentils,Lens culinaris Medik.,,x,x,,,,,,,,,,,,,,x,,x,x,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Lettuce,Lactuca sativa L.,,x,x,,,,,,,,,,,,x,,,,x,x,x,x,x,x,,,,"Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Linseed,Linum usitatissimum L.,,x,x,,,,,,,,,,,,x,,,,x,x,x,x,x,x,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), GRIN (2014), Prota (2014)"
Lupins,Lupinus L. spp.,,x,x,,,,,,,,,x,,,,,,,,x,,x,,x,,,,"Zeven and Zhukovsky (1975), GRIN (2014)- for albus, angustifolius, and mutabilis"
Maize,Zea mays L.,x,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), Castañeda-Álvarez (2016)"
"Mangoes, mangosteens & guavas","Mangoes (Mangifera indica L.), Mangosteens (Garcinia mangostana L.), Guavas (Psidium guajava L.)",,x,x,,,,,,,x,,,,x,,,x,x,,,,,,,,,,"Zeven and Zhukovsky (1975), GRIN (2014), Castañeda-Álvarez (2016)"
Mate,Ilex paraguariensis A. St.-Hil.,,x,x,,,,,,,,,,x,x,,,,,,,,,,,,,,"GRIN (2014), Castañeda-Álvarez (2016)"
Melons,Cucumis melo L.,,x,x,,x,,x,x,,,,,,,,x,x,x,x,,,,,,,x,,"Hawkes (1983), Zeven and Zhukovsky (1975), GRIN (2014), Castañeda-Álvarez (2016)"
Millets,"Pearl millet (Cenchrus americanus (L.) Morrone (formerly Pennisetum glaucum (L.) R. Br.)), Finger millet (Eleusine coracana (L.) Gaertn., Teff (Eragrostis tef (Zuccagni) Trotter), Foxtail millet (Setaria italica (L.) P. Beauv.), Proso millet (Panicum mileaceum L.), Barnyard millet and Japanese millet (Echinochloa P.Beauv. spp.)",x,x,x,,x,,x,x,,,,,,,,x,x,x,,,,,,,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998),  Castañeda-Álvarez (2016)"
Miscellaneous,Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Mustard seed,Brassica rapa L.  (but Brassica juncea (L.) Czern. for the spice mustard),,x,x,,,,,,,,,,,,,,,,,x,,x,,x,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998), with Europe region further refined,  Castañeda-Álvarez (2016)"
"Nutmeg, mace, & cardamoms","Nutmeg/mace (Myristica fragrans Houtt.), Cardamom (Elettaria cardamomum (L.) Maton)",,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,,"Zeven and Zhukovsky (1975), GRIN (2014)"
